STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,CODE,TVA
AMM ENREGISTREE,Non Commercialisé,ACULAR,"0,005",COLLYRE,FLACON DE 5 ML,PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,"36,30","22,70","21,64",1,
AMM ENREGISTREE,Non Commercialisé,ACUVAIL,"0,0045",COLLYRE EN SOLUTION,"BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML",PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,"127,50","79,70","75,90",2,
AMM ENREGISTREE,Non Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 100 ML,GN,ISOFLURANE,ANESTHESIOLOGIE,AFRIC PHAR,"338,00","225,00","214,53",3,
AMM ENREGISTREE,Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 250 ML,GN,ISOFLURANE,ANESTHESIOLOGIE,AFRIC PHAR,"756,00","502,00","478,86",4,
AMM ENREGISTREE,Commercialisé,ALGIK,500 MG / 50 MG,COMPRIME,BOITE DE 16,GN,PARACETAMOL // CAFEINE,ANTALGIQUES,AFRIC PHAR,"12,40","7,70","7,37",5,
AMM ENREGISTREE,Commercialisé,ALGIK,500 MG / 50 MG,SACHET,BOITE DE 20,GN,PARACETAMOL // CAFEINE,ANTALGIQUES,AFRIC PHAR,"20,40","12,80","12,16",6,
AMM ENREGISTREE,Commercialisé,ALPHAGAN,"0,002",COLLYRE,FLACON DE 5 ML,PP,BRIMONIDINE (TARTRATE),OPHTALMOLOGIE,AFRIC PHAR,"85,50","53,40","50,88",7,
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,250 MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,"22,80","14,30","13,60",8,
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,500 MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,"32,30","20,20","19,24",9,
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,500 MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,"56,90","35,50","33,86",10,
AMM RETIREE,Rertiré du Marché,AMPICILLINE LLORENTE,250 MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"24,50","15,30","13,63",11,
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500 MG,GELULE,BOITE DE 12,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"34,30","21,50","20,44",12,
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500 MG,GELULE,BOITE DE 24,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"61,80","38,60","36,80",13,
AMM RETIREE,Rertiré du Marché,AMPICILLINE LLORENTE,500 MG,POUDRE POUR PREPARATION INJECTABLE,BOITE DE 1 AMPOULE,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"9,90","6,20","5,51",14,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 14,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,"45,80","28,60","27,26",15,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 28,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,"89,70","56,10","53,40",16,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 7,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,"21,00","13,10","12,52",17,
AMM ENREGISTREE,Commercialisé,BEMAG,500 MG / 125 MG,SOLUTION BUVABLE,BOITE DE 20 AMPOULE DE 10 ML,GN,MAGNESIUM (GLYCEROPHOSPHATE) // PYRIDOXINE (CHLORHYDRATE),VITAMINES,AFRIC PHAR,"39,10","24,40","23,25",18,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,1000 MG,COMPRIME ENROBE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"143,00","89,40","85,11",19,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,125 MG / 5 ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"24,10","15,10","14,35",20,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,250 MG / 5 ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"42,90","26,80","25,53",21,
